age,balance,education,job,marital,month,previous,y
54,785,secondary,retired,married,may,0,no
41,-45,primary,blue-collar,married,may,0,no
44,223,tertiary,management,married,may,0,no
28,2831,secondary,admin.,single,may,0,no
22,2412,secondary,student,single,may,0,no
31,11,primary,blue-collar,married,may,0,no
36,211,secondary,services,married,may,0,no
37,34,secondary,admin.,divorced,may,0,no
54,222,secondary,admin.,married,may,0,no
28,3285,tertiary,management,single,may,0,no
42,-67,primary,blue-collar,married,may,0,no
35,670,tertiary,technician,single,may,0,no
29,0,secondary,admin.,married,may,0,no
59,96,primary,blue-collar,single,may,0,no
46,-3,secondary,blue-collar,married,may,0,no
32,123,secondary,self-employed,single,may,0,no
43,443,tertiary,management,divorced,may,0,no
41,406,primary,blue-collar,married,may,0,no
31,535,secondary,admin.,married,may,0,no
26,302,secondary,services,single,may,0,no
29,-43,primary,blue-collar,married,may,0,no
31,-346,secondary,services,married,may,0,no
37,-271,secondary,blue-collar,divorced,may,0,no
35,55,secondary,technician,married,may,0,no
31,375,tertiary,technician,single,may,0,no
30,-2,secondary,blue-collar,married,may,0,no
29,-680,primary,blue-collar,single,may,0,no
29,0,secondary,admin.,divorced,may,0,no
39,217,secondary,blue-collar,single,may,0,no
31,160,secondary,blue-collar,single,may,0,no
27,118,tertiary,management,single,may,0,no
22,-1,secondary,admin.,single,may,0,no
31,453,secondary,management,single,may,0,no
39,169,secondary,blue-collar,single,may,0,no
25,787,secondary,admin.,single,may,0,no
27,78,secondary,self-employed,single,may,0,no
28,2269,tertiary,technician,single,may,0,no
31,213,primary,unemployed,married,may,0,no
46,164,secondary,technician,divorced,may,0,no
37,934,secondary,blue-collar,married,may,0,no
27,4,secondary,services,single,may,0,no
34,354,secondary,unemployed,divorced,may,0,no
30,23,secondary,technician,single,may,0,no
23,318,secondary,student,single,may,0,no
33,-305,secondary,technician,divorced,may,0,no
43,616,secondary,admin.,married,may,0,no
50,2590,primary,blue-collar,married,may,0,no
31,1868,secondary,technician,married,may,0,no
32,-578,secondary,blue-collar,single,may,0,no
32,-227,secondary,admin.,single,may,0,no
37,1981,secondary,technician,divorced,may,0,no
60,404,unknown,management,divorced,may,0,no
47,65,secondary,blue-collar,divorced,may,0,no
32,-1,secondary,blue-collar,married,may,0,yes
34,-68,secondary,services,married,may,0,no
36,0,unknown,blue-collar,divorced,may,0,no
28,229,secondary,services,single,may,0,no
31,1656,secondary,services,divorced,may,0,no
43,1342,primary,housemaid,married,may,0,no
32,331,secondary,unemployed,single,may,0,no
31,238,secondary,services,married,may,0,no
56,202,primary,admin.,married,may,0,no
34,318,tertiary,management,single,may,0,no
46,-1124,secondary,technician,single,may,0,no
27,662,secondary,admin.,single,may,0,no
33,1790,secondary,blue-collar,married,may,0,no
35,198,primary,blue-collar,married,may,0,no
29,726,tertiary,management,single,may,0,no
39,183,tertiary,management,married,may,0,no
48,149,secondary,blue-collar,married,may,0,no
58,-91,primary,blue-collar,married,may,0,no
36,-9,secondary,blue-collar,married,may,0,no
33,134,primary,blue-collar,married,may,0,no
32,0,tertiary,management,married,may,0,no
32,6259,tertiary,entrepreneur,single,may,0,no
31,27,secondary,admin.,married,may,0,no
30,383,primary,blue-collar,single,may,0,no
30,1108,tertiary,management,single,may,0,no
40,117,primary,blue-collar,married,may,0,no
35,108,primary,blue-collar,married,may,0,no
42,479,primary,blue-collar,married,may,0,no
60,65,primary,technician,married,may,0,yes
28,234,secondary,services,single,may,0,no
29,-53,secondary,admin.,single,may,0,no
33,-131,secondary,unemployed,married,may,0,no
23,-39,secondary,services,single,may,0,no
34,139,primary,blue-collar,married,may,0,no
29,262,secondary,services,single,may,0,no
32,160,secondary,blue-collar,single,may,0,no
55,186,secondary,services,married,may,0,no
39,-79,primary,retired,single,may,0,no
37,1113,secondary,admin.,single,may,0,no
26,82,secondary,blue-collar,single,may,0,yes
35,321,tertiary,management,divorced,may,0,no
26,1326,tertiary,management,single,may,0,no
34,2257,tertiary,technician,single,may,0,no
55,1373,primary,blue-collar,married,may,0,no
39,304,secondary,services,married,may,0,no
27,659,tertiary,student,married,may,0,no
30,491,secondary,entrepreneur,single,may,0,no
28,101,unknown,management,single,may,0,no
33,33,secondary,blue-collar,single,may,0,no
43,291,tertiary,management,married,may,0,no
50,218,tertiary,services,married,may,0,no
26,102,primary,blue-collar,single,may,0,no
33,88,secondary,blue-collar,married,may,0,no
47,94,primary,blue-collar,married,may,0,no
33,-665,secondary,management,single,may,0,no
34,-331,secondary,blue-collar,married,may,0,no
33,550,secondary,blue-collar,single,may,0,no
23,151,secondary,student,single,may,0,no
29,5406,tertiary,self-employed,single,may,0,no
33,269,secondary,blue-collar,married,may,0,no
41,2457,unknown,management,married,may,0,no
27,45,secondary,blue-collar,single,may,0,no
34,610,secondary,blue-collar,single,may,0,no
53,-133,secondary,management,married,may,0,no
34,66,secondary,management,single,may,0,no
40,10,secondary,blue-collar,married,may,0,yes
27,350,tertiary,blue-collar,married,may,0,no
33,546,tertiary,services,married,may,0,no
40,360,secondary,technician,single,may,0,no
21,6,secondary,student,single,may,0,no
31,0,secondary,blue-collar,married,may,0,no
51,22,secondary,blue-collar,married,may,0,no
26,57,secondary,technician,single,may,0,no
26,1349,primary,management,married,may,0,no
32,708,secondary,admin.,single,may,0,no
31,1329,secondary,blue-collar,married,may,0,no
27,7459,primary,unemployed,married,may,0,no
58,47,primary,retired,divorced,may,0,no
39,-516,unknown,services,married,may,0,no
30,0,secondary,services,married,may,0,no
29,433,tertiary,technician,single,may,0,no
38,9,secondary,technician,married,may,0,no
29,-6,tertiary,management,married,may,0,no
28,-197,secondary,blue-collar,single,may,0,yes
41,184,secondary,blue-collar,single,may,0,no
43,336,primary,blue-collar,married,may,0,no
43,36,primary,blue-collar,single,may,0,no
37,277,secondary,technician,married,may,0,no
46,452,primary,blue-collar,divorced,may,0,no
53,-135,secondary,blue-collar,married,may,0,no
28,7,secondary,blue-collar,single,may,0,no
41,442,secondary,admin.,married,may,0,no
36,590,secondary,blue-collar,married,may,0,no
37,447,tertiary,technician,married,may,0,no
38,49,secondary,blue-collar,married,may,0,no
32,1118,secondary,technician,married,may,0,no
33,390,primary,blue-collar,divorced,may,0,yes
28,-125,secondary,technician,single,may,0,no
52,-97,primary,blue-collar,divorced,may,0,no
30,18,secondary,blue-collar,single,may,0,no
37,131,secondary,blue-collar,married,may,0,no
27,527,secondary,technician,single,may,0,no
31,1129,secondary,services,married,may,0,no
47,266,tertiary,management,divorced,may,0,no
33,687,secondary,blue-collar,single,may,0,no
46,1726,primary,blue-collar,married,may,0,no
38,-388,secondary,blue-collar,married,may,0,no
33,92,primary,blue-collar,single,may,0,no
44,-11,primary,blue-collar,married,may,0,no
35,1510,tertiary,management,married,may,0,no
38,171,secondary,blue-collar,married,may,0,no
56,420,primary,blue-collar,married,may,0,no
33,513,secondary,technician,single,may,0,no
45,137,primary,services,married,may,0,no
30,21,primary,services,married,may,0,no
34,-312,secondary,admin.,married,may,0,no
32,-208,secondary,blue-collar,married,may,0,no
32,2,secondary,blue-collar,single,may,0,no
27,1033,secondary,admin.,married,may,0,no
48,855,secondary,unemployed,married,may,0,no
54,781,primary,blue-collar,married,may,0,no
29,542,tertiary,technician,single,may,0,no
37,-175,secondary,blue-collar,divorced,may,0,no
26,79,tertiary,entrepreneur,married,may,0,no
43,3,secondary,management,married,may,0,no
31,4471,secondary,blue-collar,married,may,0,no
55,2313,secondary,technician,married,may,0,no
45,-139,secondary,services,single,may,0,no
35,300,secondary,technician,single,may,0,no
57,-3313,tertiary,self-employed,married,may,0,no
49,352,primary,blue-collar,married,may,0,no
23,105,secondary,services,single,may,0,no
49,164,primary,housemaid,divorced,may,0,no
35,-202,tertiary,management,single,may,0,no
38,-256,tertiary,technician,single,may,0,no
39,1261,secondary,entrepreneur,married,may,0,no
27,-503,tertiary,self-employed,single,may,0,no
37,790,secondary,blue-collar,married,may,0,no
57,0,secondary,management,married,may,0,no
38,638,tertiary,entrepreneur,single,may,0,no
26,47,secondary,technician,married,may,0,no
46,242,unknown,entrepreneur,married,may,0,no
44,469,secondary,admin.,married,may,0,no
44,271,primary,blue-collar,married,may,0,no
28,948,secondary,blue-collar,married,may,0,no
37,-356,secondary,admin.,married,may,0,no
43,336,secondary,technician,single,may,0,no
25,61,secondary,admin.,single,may,0,no
34,359,primary,blue-collar,single,may,0,no
39,105,primary,blue-collar,married,may,0,no
35,6809,secondary,management,single,may,0,no
32,59,secondary,services,married,may,0,no
31,0,secondary,services,married,may,0,no
42,0,primary,blue-collar,married,may,0,no
31,216,secondary,blue-collar,single,may,0,no
30,2530,tertiary,technician,single,may,0,no
29,356,secondary,admin.,single,may,0,no
29,-228,secondary,admin.,single,may,0,no
36,198,secondary,blue-collar,married,may,0,no
41,510,secondary,services,married,may,0,no
37,223,secondary,blue-collar,single,may,0,no
32,4,tertiary,management,single,may,0,no
39,338,tertiary,entrepreneur,married,may,0,no
31,0,tertiary,management,single,may,0,no
33,328,secondary,blue-collar,single,may,0,no
30,255,tertiary,technician,single,may,0,no
24,304,secondary,student,single,may,0,no
55,-256,secondary,blue-collar,married,may,0,no
27,683,secondary,services,single,may,0,no
47,84,tertiary,management,divorced,may,0,no
29,608,primary,blue-collar,married,may,0,no
56,230,secondary,management,married,may,0,no
31,12,tertiary,management,single,may,0,no
46,881,primary,blue-collar,married,may,0,no
47,77,unknown,technician,single,may,0,no
29,510,secondary,student,single,may,0,no
35,1555,tertiary,admin.,divorced,may,0,no
31,68,secondary,services,single,may,0,no
29,43,secondary,admin.,single,may,0,no
48,244,unknown,admin.,divorced,may,0,no
59,1376,secondary,blue-collar,married,may,0,no
44,392,tertiary,management,married,may,0,no
30,-396,tertiary,admin.,single,may,0,no
50,89,primary,blue-collar,married,may,0,no
25,10,secondary,admin.,married,may,0,no
32,150,secondary,blue-collar,married,may,0,no
49,1387,primary,blue-collar,married,may,0,no
38,253,secondary,admin.,married,may,0,no
29,853,secondary,blue-collar,single,may,0,no
51,91,tertiary,management,married,may,0,no
29,348,secondary,blue-collar,single,may,0,no
32,43,secondary,admin.,divorced,may,0,no
43,-178,primary,unemployed,married,may,0,no
34,2137,secondary,blue-collar,married,may,0,no
37,1160,primary,blue-collar,married,may,0,no
29,3986,secondary,admin.,single,may,0,no
39,126,secondary,services,single,may,0,no
34,6411,secondary,blue-collar,married,may,0,no
28,655,secondary,technician,married,may,0,no
37,2378,primary,blue-collar,married,may,0,no
29,15,secondary,blue-collar,married,may,0,no
25,96,secondary,admin.,single,may,0,no
33,191,primary,blue-collar,married,may,0,no
34,391,secondary,admin.,single,may,0,no
50,31,primary,blue-collar,divorced,may,0,no
35,73,secondary,blue-collar,married,may,0,no
53,0,tertiary,management,divorced,may,0,no
41,156,primary,blue-collar,single,may,0,no
48,231,primary,blue-collar,married,may,0,no
32,-83,secondary,blue-collar,single,may,0,no
38,138,secondary,self-employed,married,may,0,no
57,221,secondary,blue-collar,married,may,0,no
50,3284,tertiary,management,married,may,0,no
40,4190,tertiary,management,married,may,0,no
45,5694,tertiary,management,single,may,0,no
34,297,secondary,blue-collar,single,may,0,no
32,-89,primary,blue-collar,married,may,0,no
28,244,secondary,admin.,single,may,0,no
30,152,secondary,services,married,may,0,no
41,1696,tertiary,management,single,may,0,no
36,714,unknown,blue-collar,married,may,0,no
49,315,secondary,services,divorced,may,0,no
32,312,tertiary,self-employed,married,may,0,no
53,913,tertiary,management,married,may,0,no
44,-407,secondary,unemployed,married,may,0,no
34,338,tertiary,entrepreneur,divorced,may,0,no
56,-435,secondary,admin.,divorced,may,0,no
27,769,secondary,technician,single,may,0,no
32,120,secondary,blue-collar,married,may,0,no
43,0,primary,blue-collar,single,may,0,no
34,9569,primary,admin.,divorced,may,0,no
35,351,secondary,self-employed,married,may,0,no
28,2,secondary,admin.,married,may,0,no
52,226,primary,management,married,may,0,no
36,95,primary,blue-collar,married,may,0,no
35,123,tertiary,management,single,may,0,no
30,15,secondary,admin.,married,may,0,no
23,375,unknown,management,single,may,0,no
37,1190,secondary,entrepreneur,divorced,may,0,no
29,487,secondary,services,single,may,0,no
28,123,secondary,self-employed,single,may,0,no
56,2272,tertiary,services,divorced,may,0,no
27,133,secondary,admin.,married,may,0,no
33,447,primary,blue-collar,single,may,0,no
53,-864,primary,blue-collar,married,may,0,no
47,8,secondary,blue-collar,married,may,0,no
50,107,secondary,services,married,may,0,no
31,620,secondary,admin.,single,may,0,no
31,42,secondary,blue-collar,married,may,0,no
37,-120,tertiary,management,married,may,0,no
37,493,tertiary,management,single,may,0,no
48,296,primary,unemployed,married,may,0,no
31,6248,tertiary,management,single,may,0,no
34,484,secondary,technician,married,may,0,no
32,12,primary,blue-collar,single,may,0,no
54,154,tertiary,management,married,may,0,no
31,606,tertiary,management,single,may,0,no
55,560,secondary,services,married,may,0,no
27,564,secondary,blue-collar,married,may,0,no
36,771,secondary,blue-collar,married,may,0,no
33,0,secondary,technician,married,may,0,no
43,757,primary,blue-collar,married,may,0,no
42,333,secondary,blue-collar,married,may,0,no
48,418,primary,blue-collar,married,may,0,no
41,-256,secondary,admin.,single,may,0,no
36,494,secondary,technician,married,may,0,no
32,85,secondary,services,single,may,0,no
58,127,unknown,management,single,may,0,no
40,69,secondary,services,married,may,0,no
31,713,tertiary,management,married,may,0,no
42,-10,primary,blue-collar,married,may,0,no
34,-294,secondary,blue-collar,divorced,may,0,no
34,222,secondary,technician,married,may,0,no
35,86,unknown,technician,married,may,0,no
57,0,secondary,management,divorced,may,0,no
28,26,primary,blue-collar,married,may,0,no
50,103,secondary,technician,married,may,0,no
46,-80,tertiary,self-employed,married,may,0,no
28,131,secondary,blue-collar,married,may,0,no
57,106,unknown,unknown,married,may,0,no
49,15,secondary,admin.,married,may,0,no
56,4542,tertiary,management,single,may,0,no
56,172,secondary,blue-collar,married,may,0,no
49,0,tertiary,management,divorced,may,0,no
50,107,tertiary,management,married,may,0,no
47,15,secondary,admin.,single,may,0,no
45,101,primary,blue-collar,married,may,0,yes
44,304,secondary,unemployed,married,may,0,no
51,7816,tertiary,blue-collar,married,may,0,no
34,0,secondary,blue-collar,married,may,0,no
25,784,tertiary,management,married,may,0,no
30,2581,primary,blue-collar,married,may,0,no
39,507,secondary,unemployed,divorced,may,0,no
25,333,tertiary,student,married,may,0,no
34,-220,secondary,admin.,divorced,may,0,no
25,249,secondary,blue-collar,single,may,0,no
33,-257,secondary,blue-collar,married,may,0,no
44,210,secondary,services,divorced,may,0,no
55,18722,secondary,retired,married,may,0,no
54,42,secondary,admin.,married,may,0,no
43,210,secondary,unemployed,married,may,0,no
35,325,secondary,blue-collar,married,may,0,no
27,123,secondary,services,single,may,0,no
42,-25,primary,blue-collar,married,may,0,no
40,66,secondary,technician,married,may,0,no
31,0,primary,blue-collar,married,may,0,no
29,409,tertiary,technician,married,may,0,no
49,4785,secondary,technician,married,may,0,no
59,121,primary,retired,divorced,may,0,no
37,0,tertiary,management,married,may,0,no
60,231,unknown,blue-collar,married,may,0,no
25,1135,secondary,technician,single,may,0,no
28,-201,secondary,admin.,married,may,0,no
40,-278,secondary,services,single,may,0,no
43,16,tertiary,technician,single,may,0,no
51,-283,primary,blue-collar,married,may,0,no
28,-103,secondary,admin.,single,may,0,no
54,113,primary,management,married,may,0,no
37,194,secondary,blue-collar,married,may,0,no
35,247,tertiary,self-employed,married,may,0,no
26,-402,tertiary,management,divorced,may,0,no
55,-40,secondary,services,single,may,0,no
57,3867,secondary,unemployed,married,may,0,no
39,36,secondary,blue-collar,divorced,may,0,no
36,2167,tertiary,services,married,may,0,no
35,243,tertiary,management,single,may,0,no
33,2,primary,blue-collar,married,may,0,no
40,737,secondary,services,single,may,0,no
31,286,secondary,technician,married,may,0,no
32,311,tertiary,management,single,may,0,yes
27,541,tertiary,management,single,may,0,no
31,2963,secondary,services,single,may,0,no
28,-871,secondary,blue-collar,single,may,0,no
33,75,secondary,blue-collar,divorced,may,0,no
31,2597,secondary,blue-collar,single,may,0,no
25,-454,secondary,services,married,may,0,no
29,0,secondary,technician,married,may,0,no
47,304,primary,blue-collar,married,may,0,no
59,220,primary,blue-collar,divorced,may,0,no
35,561,tertiary,management,single,may,0,no
33,211,primary,blue-collar,married,may,0,no
31,4509,tertiary,management,single,may,0,no
42,196,tertiary,management,single,may,0,no
26,124,secondary,technician,single,may,0,no
34,381,secondary,blue-collar,single,may,0,no
31,184,secondary,admin.,married,may,0,no
30,-149,unknown,blue-collar,single,may,0,no
54,-337,unknown,admin.,married,may,0,no
52,210,primary,blue-collar,single,may,0,no
40,737,primary,blue-collar,divorced,may,0,no
56,75,secondary,blue-collar,divorced,may,0,no
25,641,tertiary,student,single,may,0,no
60,78,secondary,retired,married,may,0,no
43,1558,primary,blue-collar,married,may,0,no
32,227,unknown,entrepreneur,married,may,0,no
48,602,secondary,blue-collar,divorced,may,0,no
43,798,secondary,self-employed,single,may,0,no
37,1047,secondary,technician,married,may,0,no
52,111,primary,services,divorced,may,0,no
25,-439,secondary,services,single,may,0,no
31,37,tertiary,entrepreneur,single,may,0,no
35,362,secondary,blue-collar,married,may,0,no
27,1,secondary,admin.,single,may,0,no
41,304,secondary,self-employed,married,may,0,no
34,-89,secondary,technician,single,may,0,no
55,276,secondary,technician,married,may,0,no
26,288,secondary,blue-collar,married,may,0,no
36,650,primary,blue-collar,married,may,0,no
45,171,secondary,admin.,married,may,0,no
27,-302,secondary,technician,married,may,0,no
31,337,secondary,admin.,married,may,0,no
29,891,secondary,admin.,divorced,may,0,no
26,199,secondary,blue-collar,single,may,0,no
46,997,secondary,services,married,may,0,no
32,108,tertiary,entrepreneur,married,may,0,no
25,40,tertiary,admin.,single,may,0,no
54,208,primary,retired,married,may,0,no
31,6890,secondary,technician,married,may,0,no
33,395,secondary,admin.,single,may,0,no
28,-214,tertiary,technician,single,may,0,no
39,496,secondary,admin.,single,may,0,no
37,183,secondary,technician,married,may,0,no
36,199,primary,blue-collar,married,may,0,no
56,179,primary,admin.,divorced,may,0,no
59,434,secondary,retired,married,may,0,no
30,122,secondary,services,single,may,0,no
59,371,secondary,technician,married,may,0,no
27,3675,secondary,blue-collar,single,may,0,no
29,11,tertiary,entrepreneur,single,may,0,no
48,194,secondary,services,married,may,0,no
44,23,secondary,blue-collar,married,may,0,no
33,1011,tertiary,management,single,may,0,no
39,446,primary,blue-collar,single,may,0,no
46,-29,primary,blue-collar,married,may,0,no
28,957,secondary,admin.,married,may,0,no
31,297,secondary,blue-collar,married,may,0,no
40,888,secondary,services,single,may,0,no
37,115,secondary,blue-collar,single,may,0,no
29,177,secondary,blue-collar,married,may,0,no
29,-28,secondary,blue-collar,married,may,0,no
24,951,secondary,blue-collar,married,may,0,no
32,5,secondary,admin.,single,may,0,no
26,586,secondary,admin.,single,may,0,no
47,-1445,unknown,entrepreneur,married,may,0,no
26,-23,secondary,blue-collar,single,may,0,no
28,-284,secondary,blue-collar,single,may,0,no
58,1166,secondary,blue-collar,married,may,0,no
35,244,tertiary,management,single,may,0,no
29,-72,secondary,services,single,may,0,no
56,1399,primary,blue-collar,married,may,0,no
43,0,primary,blue-collar,married,may,0,no
45,431,secondary,blue-collar,married,may,0,no
31,130,secondary,admin.,single,may,0,no
34,187,secondary,blue-collar,married,may,0,no
32,142,primary,management,married,may,0,no
33,14,secondary,technician,single,may,0,no
28,-219,secondary,technician,single,may,0,no
43,275,secondary,admin.,single,may,0,no
49,5028,secondary,services,single,may,0,no
27,118,secondary,services,single,may,0,no
30,290,secondary,services,single,may,0,no
32,1064,primary,blue-collar,married,may,0,no
37,904,secondary,services,divorced,may,0,no
31,628,secondary,technician,single,may,0,no
56,13,primary,retired,married,may,0,no
26,450,tertiary,technician,married,may,0,no
43,-63,secondary,blue-collar,married,may,0,no
48,164,secondary,technician,divorced,may,0,no
31,985,primary,blue-collar,single,may,0,no
36,616,secondary,services,single,may,0,no
24,237,secondary,blue-collar,married,may,0,no
29,380,secondary,unemployed,married,may,0,no
23,290,secondary,admin.,single,may,0,no
54,104,secondary,entrepreneur,divorced,may,0,no
24,117,secondary,blue-collar,single,may,0,no
25,276,secondary,technician,single,may,0,no
36,-475,secondary,technician,single,may,0,no
40,838,unknown,management,single,may,0,no
29,382,secondary,admin.,single,may,0,no
29,624,primary,admin.,married,may,0,no
48,396,primary,blue-collar,single,may,0,no
23,5,secondary,admin.,single,may,0,no
37,18,secondary,admin.,single,may,0,no
31,-464,primary,blue-collar,married,may,0,no
29,330,secondary,services,divorced,may,0,no
56,2087,secondary,admin.,married,may,0,no
28,-260,secondary,services,single,may,0,no
44,236,secondary,blue-collar,married,may,0,no
48,684,secondary,blue-collar,married,may,0,no
30,458,secondary,blue-collar,married,may,0,no
32,324,primary,unemployed,married,may,0,no
41,1052,primary,blue-collar,married,may,0,no
30,37,secondary,management,divorced,may,0,no
37,454,secondary,blue-collar,married,may,0,no
30,573,secondary,blue-collar,single,may,0,no
28,34,secondary,technician,single,may,0,no
33,341,secondary,technician,single,may,0,no
41,31,unknown,blue-collar,married,may,0,no
42,-189,secondary,management,married,may,0,no
50,424,secondary,admin.,single,may,0,no
23,250,tertiary,student,single,may,0,no
38,3165,secondary,services,married,may,0,no
31,387,secondary,blue-collar,divorced,may,0,no
35,855,secondary,admin.,single,may,0,no
52,944,secondary,admin.,divorced,may,0,no
36,134,secondary,blue-collar,married,may,0,no
28,2845,secondary,blue-collar,single,may,0,no
27,2420,tertiary,management,single,may,0,no
24,1535,tertiary,student,single,may,0,no
45,0,tertiary,management,single,may,0,no
39,504,secondary,technician,married,may,0,no
38,-329,secondary,blue-collar,single,may,0,no
24,94,secondary,blue-collar,married,may,0,no
35,538,tertiary,management,divorced,may,0,no
32,-18,secondary,admin.,divorced,may,0,no
48,26,primary,housemaid,divorced,may,0,no
36,177,primary,entrepreneur,married,may,0,no
46,633,primary,blue-collar,married,may,0,no
28,205,secondary,technician,single,may,0,no
50,1114,secondary,admin.,married,may,0,no
44,78,secondary,blue-collar,married,may,0,no
38,762,tertiary,management,married,may,0,no
33,1862,primary,self-employed,married,may,0,no
57,73,tertiary,management,single,may,0,no
40,2576,secondary,technician,married,may,0,no
42,470,primary,management,married,may,0,no
32,206,secondary,services,married,may,0,no
55,0,primary,blue-collar,married,may,0,no
25,-76,secondary,blue-collar,married,may,0,no
42,1750,tertiary,management,divorced,may,0,no
23,1104,secondary,admin.,single,may,0,no
31,286,secondary,blue-collar,married,may,0,no
21,137,unknown,student,single,may,0,no
34,247,secondary,admin.,married,may,0,no
46,-43,tertiary,entrepreneur,married,may,0,no
55,309,primary,blue-collar,married,may,0,no
33,339,secondary,entrepreneur,single,may,0,no
47,218,secondary,self-employed,divorced,may,0,no
33,4128,tertiary,management,single,may,0,no
40,867,tertiary,management,single,may,0,no
32,1345,tertiary,management,single,may,0,no
48,40,secondary,technician,divorced,may,0,no
32,1466,secondary,admin.,single,may,0,no
26,96,secondary,blue-collar,single,may,0,no
38,332,secondary,blue-collar,married,may,0,no
46,1474,secondary,services,married,may,0,no
49,783,secondary,blue-collar,married,may,0,no
33,239,tertiary,management,single,may,0,no
45,27,secondary,blue-collar,married,may,0,no
32,-24,tertiary,management,married,may,0,no
39,23,secondary,blue-collar,married,may,0,no
53,6386,primary,blue-collar,married,may,0,no
28,-353,secondary,unemployed,single,may,0,no
31,-474,secondary,admin.,married,may,0,no
34,714,tertiary,entrepreneur,single,may,0,no
40,570,primary,blue-collar,married,may,0,no
29,16,secondary,blue-collar,single,may,0,no
34,1504,secondary,admin.,single,may,0,no
38,551,tertiary,management,married,may,0,no
31,-759,secondary,services,married,may,0,no
32,1097,secondary,technician,divorced,may,0,no
31,520,secondary,services,married,may,0,no
53,0,unknown,blue-collar,single,may,0,no
38,573,unknown,blue-collar,single,may,0,no
57,0,primary,blue-collar,married,may,0,no
58,146,tertiary,entrepreneur,married,may,0,no
50,-37,primary,blue-collar,married,may,0,no
36,90,secondary,blue-collar,single,may,0,no
46,0,primary,blue-collar,married,may,0,no
39,1242,secondary,admin.,single,may,0,no
31,98,secondary,admin.,single,may,0,no
44,295,tertiary,management,single,may,0,no
53,465,secondary,admin.,married,may,0,no
35,1473,tertiary,technician,married,may,0,no
40,3122,secondary,blue-collar,married,may,0,no
30,317,secondary,technician,single,may,0,no
33,176,secondary,blue-collar,divorced,may,0,no
39,661,secondary,blue-collar,married,may,0,no
25,1,secondary,admin.,single,may,0,no
35,-12,primary,blue-collar,married,may,0,no
43,1401,primary,blue-collar,married,may,0,no
41,171,tertiary,entrepreneur,married,may,0,no
55,431,primary,blue-collar,married,may,0,no
49,265,secondary,technician,divorced,may,0,no
30,227,tertiary,self-employed,married,may,0,no
37,336,secondary,blue-collar,single,may,0,no
46,41,secondary,unemployed,divorced,may,0,no
36,1554,secondary,blue-collar,married,may,0,no
45,141,secondary,services,single,may,0,no
48,762,primary,blue-collar,married,may,0,no
22,650,secondary,housemaid,single,may,0,no
46,250,secondary,admin.,married,may,0,no
39,130,secondary,blue-collar,married,may,0,no
56,11,secondary,admin.,married,may,0,no
35,36,tertiary,management,divorced,may,0,no
45,333,primary,blue-collar,married,may,0,no
28,487,secondary,technician,married,may,0,no
32,594,tertiary,admin.,single,may,0,no
52,1135,tertiary,services,married,may,0,no
26,-3,secondary,admin.,divorced,may,0,no
22,-168,primary,blue-collar,single,may,0,no
35,414,primary,blue-collar,married,may,0,yes
44,166,tertiary,technician,single,may,0,no
31,472,secondary,blue-collar,married,may,0,no
28,-95,secondary,blue-collar,married,may,0,no
23,158,secondary,technician,single,may,0,no
26,8,secondary,technician,single,may,0,no
31,296,secondary,admin.,single,may,0,no
27,-541,secondary,admin.,single,may,0,no
34,23,secondary,services,single,may,0,no
25,17,primary,blue-collar,single,may,0,no
25,335,secondary,blue-collar,single,may,0,no
22,395,secondary,services,single,may,0,no
37,178,secondary,blue-collar,divorced,may,0,no
26,101,secondary,entrepreneur,single,may,0,no
32,-428,secondary,blue-collar,married,may,0,no
26,24299,secondary,technician,single,may,0,no
27,181,secondary,blue-collar,single,may,0,no
22,83,secondary,services,married,may,0,no
32,175,secondary,technician,married,may,0,no
33,5,secondary,management,divorced,may,0,yes
34,3185,secondary,admin.,married,may,0,no
31,2577,secondary,blue-collar,married,may,0,no
28,216,secondary,technician,single,may,0,no
37,166,secondary,blue-collar,married,may,0,no
45,323,primary,blue-collar,married,may,0,no
31,334,tertiary,management,married,may,0,no
48,86,secondary,entrepreneur,married,may,0,no
24,845,secondary,admin.,single,may,0,no
24,-126,secondary,technician,single,may,0,no
45,-3,secondary,services,married,may,0,no
26,54,secondary,services,married,may,0,no
24,-192,secondary,technician,single,may,0,no
29,125,secondary,blue-collar,married,may,0,no
34,2146,primary,blue-collar,single,may,0,no
30,-522,tertiary,technician,single,may,0,no
21,99,secondary,student,single,may,0,no
42,-1664,secondary,blue-collar,married,may,0,no
32,2,secondary,unemployed,married,may,0,no
40,2172,secondary,services,married,may,0,no
33,168,tertiary,management,single,may,0,no
32,62,primary,technician,married,may,0,no
25,768,secondary,admin.,single,may,0,no
41,429,secondary,blue-collar,married,may,0,no
37,36,secondary,admin.,married,may,0,no
29,0,primary,blue-collar,married,may,0,no
29,544,secondary,technician,single,may,0,no
46,91,primary,services,divorced,may,0,no
32,-3,tertiary,management,single,may,0,no
30,1374,secondary,admin.,single,may,0,no
38,119,tertiary,management,married,may,0,yes
22,279,secondary,services,single,may,0,no
22,594,secondary,management,single,may,0,no
32,-121,secondary,services,single,may,0,no
36,-195,secondary,blue-collar,married,may,0,no
30,-208,secondary,technician,single,may,0,no
26,309,secondary,blue-collar,single,may,0,no
41,210,primary,blue-collar,divorced,may,0,no
42,135,secondary,unemployed,married,may,0,no
45,66,secondary,blue-collar,married,may,0,no
