level_0,index,age,workclass,education,marital_status,occupation,sex,income
7968,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
7969,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
7970,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
7971,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
7973,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
7974,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
7975,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
7976,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
7977,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
7978,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
7980,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
7981,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
7982,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
7983,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
7984,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
7985,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
7986,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
7987,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
7988,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
7989,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
7990,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
7991,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
7992,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
7994,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
7995,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
7996,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
7997,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
7998,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8000,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8003,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8004,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8005,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8006,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8007,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8008,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8009,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8010,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
8011,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8012,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8013,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8014,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8015,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8016,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8017,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8018,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8019,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8020,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8021,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8022,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8025,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8027,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8028,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8029,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8030,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8032,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8036,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8037,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8038,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8039,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8040,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8041,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8042,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8043,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8044,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8045,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8046,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
8047,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8048,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8049,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8050,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8052,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8054,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8055,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8056,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8059,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8060,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8061,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8063,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
8064,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8066,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8068,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
8069,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8070,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8071,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8072,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,>50K
8073,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8074,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8075,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8076,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8077,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8078,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8079,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8080,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8081,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8082,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8085,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8086,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8087,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8089,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8091,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8092,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8093,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8095,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
8096,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8097,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8098,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8100,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
8101,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8103,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8104,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8105,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8106,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8109,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8110,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8111,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8112,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8113,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8114,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8115,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8117,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8118,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8119,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8120,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8121,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8122,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8123,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,>50K
8124,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
8125,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8126,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8127,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8128,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8129,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8130,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
8131,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8132,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8133,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8134,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8135,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8136,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8137,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8139,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8140,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8141,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8142,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8143,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8144,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,>50K
8145,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8146,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8147,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8148,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8149,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8150,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8153,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8154,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
8155,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8156,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8157,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8160,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
8161,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
8162,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8163,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8164,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8165,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8166,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8167,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8168,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8170,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8171,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8172,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8173,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8174,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8175,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8176,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8177,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8179,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8180,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8181,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8182,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8183,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
8187,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8188,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8189,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8191,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8192,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8194,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8195,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8196,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8197,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8199,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
8200,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8201,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8203,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8204,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8205,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
8206,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
8207,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
8208,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8209,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8211,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8212,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8213,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8215,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8216,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8217,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8218,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8219,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
8220,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8221,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8224,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8225,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8226,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8227,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8232,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8233,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8234,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8235,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8238,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8240,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8241,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8242,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8243,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
8244,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
8245,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8246,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8249,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8252,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8253,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8255,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8257,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8258,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8259,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8260,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8261,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8262,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8263,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
8264,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8265,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8266,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8267,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8268,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
8270,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8271,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
8272,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8273,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8274,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
8275,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8276,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8277,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8279,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,>50K
8280,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8282,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8285,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
8286,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,>50K
8289,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8290,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8291,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8292,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8293,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8294,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8297,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
8298,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8299,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
8300,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,>50K
8301,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8302,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8303,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8304,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8305,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8306,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8307,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8309,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8311,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
8314,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8315,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
8319,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8320,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
8321,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8322,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8323,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8324,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8325,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8326,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
8327,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
8328,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8329,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8330,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
8331,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
8332,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8333,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8334,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8335,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
8336,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8337,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8338,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8340,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8341,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8342,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8343,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8344,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
8345,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8347,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8348,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,>50K
8349,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8350,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8351,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
8352,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8353,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8354,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
8355,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8356,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8357,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
8359,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
8362,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
8363,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
8364,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
8365,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8368,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
8369,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8370,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
8371,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,>50K
8372,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
8373,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
